t_id_tramitecatastral;clase_mutacion;numero_resolucion;fecha_resolucion;fecha_radicacion
1187737;Mutacion_Primera_Clase;SMT-3013;2024-10-01;2024-01-01
1186244;Mutacion_Primera_Clase;SMT-1511 ;2023-11-18;2024-01-01
1187736;Mutacion_Primera_Clase;SMT-3012;2024-10-01;2024-01-01
1186241;Mutacion_Primera_Clase;614;2022-04-12;2024-01-01
1179486;Mutacion_Primera_Clase;SMT-2283;2024-02-28;2024-02-27
1186260;Mutacion_Primera_Clase; SMT-2100;2023-12-28;2024-01-01
1184411;Complementacion;SMT-1878;2023-12-08;2024-01-01
1184425;Mutacion_Primera_Clase;SMT-1577;2023-12-06;2024-01-01
1187734;Mutacion_Primera_Clase;SMT-2996;2024-10-01;2024-01-01
1179484;Mutacion_Primera_Clase;SMT-2349;2024-03-26;2024-02-27
1187733;Mutacion_Primera_Clase;SMT-2993;2024-10-01;2024-01-01
1179476;Mutacion_Primera_Clase;SMT-2432;2024-03-18;2024-02-16
1180326;Mutacion_Segunda_Clase;1308;2022-09-27;2024-01-01
1186492;Mutacion_Segunda_Clase;SMT-1380;2023-11-16;2024-01-01
1186240;Mutacion_Primera_Clase;3314;2022-09-06;2024-01-01
1186238;Mutacion_Primera_Clase;3512;2022-09-09;2024-01-01
1179477;Mutacion_Primera_Clase;SMT-2285;2024-02-28;2024-02-26
1187735;Mutacion_Primera_Clase;SMT-2998;2024-10-01;2024-01-01
1186237;Mutacion_Primera_Clase;73;2023-02-22;2024-01-01
1186259;Mutacion_Primera_Clase;SMT-1449;2023-11-18;2024-01-01
1186398;Complementacion; SMT-1332;2023-11-02;2024-01-01
1179485;Mutacion_Primera_Clase;SMT-2825;2024-04-18;2024-02-27
1186477;Rectificaciones;SMT-1233;2023-10-10;2024-01-01
1180325;Mutacion_Segunda_Clase;15801;2022-12-19;2024-01-01
1179481;Mutacion_Primera_Clase; SMT-2468;2024-03-19;2024-02-27
1186239;Mutacion_Primera_Clase;1082;2022-04-30;2024-01-01
1186017;Mutacion_Primera_Clase;SMT-1849;2023-12-07;2024-01-01
