t_id_predio;numero_predial;condicion_predio
783345;470010107000000490707000000000;Mejoras
774773;470010110000000640018300000000;Mejoras
1065159;470010003000000010225500000269;Mejoras
1027372;470010110000000640017300000000;Mejoras
684334;470010110000000790010300000000;Mejoras
868687;470010110000000790009300000000;Mejoras
812287;470010110000000640763300000000;Mejoras
836425;470010110000000640011300000000;Mejoras
670584;470010111000001220001500000012;Mejoras
663402;470010900000002240005500000001;Mejoras
771242;470010108000000010009000000000;Mejoras
744394;470010110000000640019300000000;Mejoras
1041195;470010110000000050012300000000;Mejoras
1041666;470010110000000050013300000000;Mejoras
